,HillaryClinton,SenSanders,elizabethforma,is_democrat,mike_pence,realDonaldTrump,seanhannity,tedCruz,user_id,user_names,tedcruz
0,True,False,False,1.0,False,False,False,,3071251042,HillaryforSC,False
1,True,False,False,1.0,False,False,False,,130839979,Beatriztwitting,False
2,False,False,False,1.0,False,False,False,,21610345,ehs_wildcats,False
3,False,False,False,1.0,False,False,False,,1957362266,letusnow,False
4,True,False,True,1.0,False,False,False,,19273919,RheaButcher,False
5,False,False,False,1.0,False,False,False,,5976992,kellysue,False
6,False,False,False,1.0,False,False,False,,156503964,girlmeetsfogeI,False
7,False,False,False,1.0,False,False,False,,2832323570,maialeecyrus,False
8,True,False,True,1.0,False,False,False,,491997391,thetenderland,False
9,True,True,True,1.0,False,False,True,,15097615,hilaryr,False
10,True,False,False,1.0,False,False,False,,15440889,BenjaminAhr,False
11,True,False,True,1.0,False,True,False,,2279401,PaulFidalgo,False
12,True,False,True,1.0,False,False,False,,3732111014,artistgf,False
13,False,True,False,1.0,False,False,False,,591317290,faithevastewart,False
14,True,False,True,1.0,False,False,False,,18005489,divarobbie,False
15,True,True,True,1.0,False,False,False,,13073662,WendyMolyneux,False
16,True,True,True,1.0,False,True,False,,53503202,kharyp,False
17,False,False,False,1.0,False,False,False,,325148223,hmhdreamer,False
18,False,False,False,1.0,False,False,False,,3008713519,TheyFall4Autumn,False
19,True,True,True,1.0,False,False,False,,15447066,melissacwalker,False
20,True,False,False,1.0,False,False,False,,3071251042,HillaryforSC,False
21,True,False,False,1.0,False,False,False,,130839979,Beatriztwitting,False
22,False,False,False,1.0,False,False,False,,21610345,ehs_wildcats,False
23,False,False,False,1.0,False,False,False,,1957362266,letusnow,False
24,True,False,True,1.0,False,False,False,,19273919,RheaButcher,False
25,False,False,False,0.0,True,True,True,,25429371,KatrinaPierson,True
26,False,False,False,0.0,False,False,False,,21719281,KMWKravMaga,False
27,False,False,False,0.0,False,True,False,,2510682985,Zurvanism,False
28,False,False,False,0.0,True,True,True,,312149882,Chris_1791,False
29,False,False,False,0.0,True,True,False,,783836435799429121,MAGA3X,False
30,False,False,False,0.0,False,True,True,,324236072,ObamaMalik,False
31,False,False,False,0.0,True,True,True,,75541946,LaraLeaTrump,False
32,False,False,False,0.0,False,True,True,,704034081898668032,Miami4Trump,False
33,False,False,False,0.0,False,False,False,,36725181,KravMagaBristol,False
34,False,False,False,0.0,True,True,True,,185425059,tteegar,False
35,False,False,False,0.0,True,True,True,,69190453,LVNancy,True
36,False,False,False,0.0,True,True,True,,3383049855,Kotcha301,False
37,False,False,False,0.0,False,False,False,,314637342,MagaMGD,False
38,False,False,False,0.0,False,False,False,,174786058,SixtysixMaga,False
39,False,False,False,0.0,False,False,False,,47431987,Maga2DaZeen,False
40,False,True,False,0.0,True,True,True,,19341224,Ziplok_,True
41,False,False,False,0.0,True,True,True,,347627434,LindaSuhler,False
42,False,False,False,0.0,True,True,True,,796899745889402880,MBOKSR_MAGA,True
43,False,False,False,0.0,True,True,True,,17685258,parscale,True
44,False,False,False,0.0,False,False,False,,59295543,ajdraven,False
45,False,False,False,0.0,True,True,True,,25429371,KatrinaPierson,True
46,False,False,False,0.0,False,False,False,,21719281,KMWKravMaga,False
47,False,False,False,0.0,False,True,False,,2510682985,Zurvanism,False
48,False,False,False,0.0,True,True,True,,312149882,Chris_1791,False
49,False,False,False,0.0,True,True,False,,783836435799429121,MAGA3X,False
